""	"20"	"60"	"180"	"360"	"720"	"1440"	"5760"
"H_"	1	0.06	NA	0.07	0.05	NA	0.03
"H_FB"	1	0.17	NA	0.12	0.09	NA	0.1
"H_BL"	1	0.13	NA	0.29	0.19	NA	0.08
"H_CR"	1	0.26	NA	0.27	0.19	NA	0.15
"P_"	1	0.4	0.28	0.25	0.3	0.12	NA
"P_FB"	1	0.48	0.4	0.3	0.5	0.2	NA
"P_BL"	1	0.5	0.3	0.41	0.45	0.4	NA
"P_CR"	1	0.4	0.46	0.38	0.35	0.5	NA
